b,num_physical_stroke,end_point_x,num_stroke,num_brush,end_point_y,theta_deg,start_point_x,theta_rad,g,r,start_point_y,Unnamed: 0,Unnamed: 0.1
236.0,160.0,376.7910920847566,24.0,1.0,516.2590475858151,146.63292288780212,309.1046826053252,2.5592272962150986,223.0,197.0,413.478758478512,159.0,159.0
236.0,161.0,360.00687709389456,24.0,1.0,527.3123658682364,146.63292288780212,292.3204676144632,2.5592272962150986,223.0,197.0,424.5320767609333,160.0,160.0
236.0,162.0,343.2226621030325,24.0,1.0,538.3656841506577,146.63292288780212,275.5362526236011,2.5592272962150986,223.0,197.0,435.5853950433546,161.0,161.0
236.0,163.0,326.4384471121705,24.0,1.0,549.419002433079,146.63292288780212,258.75203763273913,2.5592272962150986,223.0,197.0,446.6387133257758,162.0,162.0
236.0,164.0,309.65423212130844,24.0,1.0,560.4723207155001,146.63292288780212,241.96782264187704,2.5592272962150986,223.0,197.0,457.6920316081971,163.0,163.0
236.0,165.0,296.2268601286188,24.0,1.0,569.3149753414373,146.63292288780212,228.54045064918745,2.5592272962150986,223.0,197.0,466.5346862341341,164.0,164.0
200.0,177.0,175.9662403006713,27.0,1.0,441.9196113497296,99.89574193954468,143.76224878476998,1.743509605567641,198.0,178.0,436.3015812641841,176.0,176.0
200.0,178.0,172.51621425469898,27.0,1.0,461.6960468302,99.89574193954468,140.3122227387976,1.743509605567641,198.0,178.0,456.0780167446544,177.0,177.0
200.0,179.0,169.0661882087266,27.0,1.0,481.4724823106701,99.89574193954468,136.86219669282525,1.743509605567641,198.0,178.0,475.8544522251246,178.0,178.0
200.0,180.0,165.61616216275425,27.0,1.0,501.2489177911403,99.89574193954468,133.4121706468529,1.743509605567641,198.0,178.0,495.6308877055948,179.0,179.0
200.0,181.0,164.40865304666391,27.0,1.0,508.1706702093049,99.89574193954468,132.20466153076256,1.743509605567641,198.0,178.0,502.5526401237594,180.0,180.0
181.0,196.0,559.0617185979394,32.0,1.0,484.0889230649192,159.90235805511475,540.2462860423949,2.790822629764629,214.0,195.0,432.66677963464826,195.0,195.0
181.0,197.0,540.1365029627545,32.0,1.0,491.0136853293669,159.90235805511475,521.3210704072102,2.790822629764629,214.0,195.0,439.591541899096,196.0,196.0
181.0,198.0,521.2112873275696,32.0,1.0,497.93844759381454,159.90235805511475,502.3958547720253,2.790822629764629,214.0,195.0,446.5163041635436,197.0,197.0
181.0,199.0,502.2860716923847,32.0,1.0,504.86320985826217,159.90235805511475,483.4706391368403,2.790822629764629,214.0,195.0,453.44106642799136,198.0,198.0
181.0,200.0,483.3608560571998,32.0,1.0,511.7879721227099,159.90235805511475,464.54542350165536,2.790822629764629,214.0,195.0,460.36582869243887,199.0,199.0
181.0,201.0,464.4356404220149,32.0,1.0,518.7127343871576,159.90235805511475,445.6202078664706,2.790822629764629,214.0,195.0,467.2905909568866,200.0,200.0
181.0,202.0,454.97303260442254,32.0,1.0,522.1751155193814,159.90235805511475,436.1576000488781,2.790822629764629,214.0,195.0,470.7529720891105,201.0,201.0
230.0,203.0,287.1583041265752,33.0,1.0,218.50082286382815,157.3278343677521,278.9678144722008,2.7458887147495648,223.0,185.0,198.89407793199712,202.0,202.0
230.0,204.0,268.53104356100465,33.0,1.0,226.28214431632256,157.3278343677521,260.34055390663025,2.7458887147495648,223.0,185.0,206.67539938449147,203.0,203.0
230.0,205.0,254.56059813682683,33.0,1.0,232.1181354056933,157.3278343677521,246.3701084824524,2.7458887147495648,223.0,185.0,212.51139047386224,204.0,204.0
153.0,215.0,609.0162575476131,36.0,1.0,263.98970136479824,119.61940884590148,584.1499591340385,2.0877525336502107,196.0,197.0,249.8525338987874,214.0,214.0
153.0,216.0,599.0729466741117,36.0,1.0,281.4792965042693,119.61940884590148,574.2066482605369,2.0877525336502107,196.0,197.0,267.3421290382585,215.0,215.0
153.0,217.0,589.12963580061,36.0,1.0,298.9688916437404,119.61940884590148,564.2633373870352,2.0877525336502107,196.0,197.0,284.8317241777296,216.0,216.0
153.0,218.0,579.1863249271086,36.0,1.0,316.4584867832115,119.61940884590148,554.3200265135339,2.0877525336502107,196.0,197.0,302.3213193172007,217.0,217.0
